Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score
Linear Regression,0.0007038116455078125,0.0001556873321533203,10.426742428088149,8.441539267710407,0.881322387223692
Ridge,0.0006113052368164062,0.00013446807861328125,10.42613605663569,8.441017282048149,0.8813361903121292
Lasso,0.0009491443634033203,0.00017714500427246094,10.355891483290767,8.380449277752378,0.8829297642051457
XGBoost,0.15309858322143555,0.0057141780853271484,55.279956906370195,47.43469048142682,-2.335852987572213
LightGBM,0.02789902687072754,0.003766298294067383,62.38509665069189,54.94374945799693,-3.248476454976127
Linear Regression,0.0014421939849853516,0.0004792213439941406,10.187073221281924,8.152833886968457,0.8964532664217872
Ridge,0.0013270378112792969,0.00032591819763183594,10.186824799804898,8.152600060141497,0.8964583165315283
Lasso,0.001001596450805664,0.0001785755157470703,10.159304917409948,8.129554934664291,0.8970170001414206
XGBoost,0.07789063453674316,0.006034374237060547,55.815896380196016,47.021325816800136,-2.1085177775821187
LightGBM,0.018215656280517578,0.003587961196899414,60.53769375478178,52.06156600534731,-2.6566996658501028
Linear Regression,0.0006573200225830078,0.00023865699768066406,9.760014002493227,7.8876393773070985,0.9005980842536503
Ridge,0.0016279220581054688,0.0005025863647460938,9.760205543935502,7.887830878332581,0.9005941826663926
Lasso,0.0017747879028320312,0.0003485679626464844,9.786901358036555,7.916125033130887,0.900049655526314
XGBoost,0.04899764060974121,0.004770040512084961,80.86145217352933,74.70116606654298,-5.823024739371559
LightGBM,0.021082162857055664,0.003857851028442383,64.36806627168103,56.742133000928675,-3.3234933743746815
Linear Regression,0.0010266304016113281,0.0002472400665283203,12.425331658485971,10.095275603491118,0.8315725208525615
Ridge,0.0008370876312255859,0.00019359588623046875,12.424071071525894,10.094108786568315,0.831606694059305
Lasso,0.0010175704956054688,0.00018453598022460938,12.278163435399629,9.962683740705597,0.8355386734312653
XGBoost,0.06365180015563965,0.0041599273681640625,68.73550777949671,61.767047204583754,-4.154176182076375
LightGBM,0.021314382553100586,0.0023775100708007812,57.62668494018387,49.71529936208295,-2.622799029706696
Linear Regression,0.0011267662048339844,0.00034999847412109375,10.507401053155855,8.270015295859928,0.884524100430279
Ridge,0.0015571117401123047,0.00034308433532714844,10.507192671746441,8.269753863989347,0.8845286805908679
Lasso,0.0017838478088378906,0.00028967857360839844,10.484580361761749,8.23779089417634,0.8850251526233452
XGBoost,0.0479583740234375,0.006311178207397461,49.17454831125561,40.83658848820289,-1.5291902270140278
LightGBM,0.01973438262939453,0.00370025634765625,62.95797102020154,55.214747914061824,-3.145741154722777
