Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
Linear Regression,16.20404650441891,48.35623036131259,0.9865704491338362,0.897457174631958,2.984207083590241
Ridge (alpha=1.0),16.800394575555657,48.53983499696969,0.9855637800568863,0.8966770029403964,2.8892080348871376
Lasso (alpha=1.0),19.215034473395825,42.175159596286385,0.9811158751692272,0.9219965389183344,2.194904185817621
XGBoost,0.00041750841123848324,119.64241654075546,0.9999999999910845,0.37227307606990956,286562.8890825268
LightGBM,34.66375277519838,89.16870093688522,0.9385438027253415,0.6513214084650594,2.5723902866248416
Linear Regression,9.911909502548424,43.385320609531696,0.9981844888758884,0.9708214665953595,4.377090065075454
Ridge (alpha=1.0),11.296696288550256,41.4686818834089,0.9976417645492552,0.973342568661317,3.6708680860473692
Lasso (alpha=1.0),13.485615588301489,31.433220945039754,0.9966393304613722,0.9846836385262364,2.3308703069000027
XGBoost,0.00039481935221716817,210.73808172033367,0.9999999999971194,0.3115635096303153,533758.2378799365
LightGBM,48.132960616326095,176.11432633438505,0.9571876163040759,0.5191969558851941,3.6589132286753476
Linear Regression,7.998529771259668,50.84476513731279,0.9979480084210772,0.8988076390709737,6.356763879282952
Ridge (alpha=1.0),9.13961488307895,42.24010126231312,0.997320763597293,0.9301598539711657,4.6216500150915865
Lasso (alpha=1.0),12.480987883897996,35.21522505369614,0.9950036464048485,0.9514581667659909,2.8215094334902844
XGBoost,0.00043651291005019304,123.27699174648929,0.9999999999938884,0.40513379967059604,282413.1632952485
LightGBM,30.184177515374323,109.71556226553682,0.9707777309131859,0.5288147317412559,3.6348700311497026
Linear Regression,14.15160949491496,54.006192952870634,0.9858204789309639,0.7901769305102653,3.816258000355116
Ridge (alpha=1.0),14.34060677873289,49.53765472946455,0.9854392097642022,0.8234624918187836,3.4543625310840302
Lasso (alpha=1.0),17.526752186009727,39.24174010443469,0.9782503244593174,0.8892196780825361,2.238962455106679
XGBoost,0.0003797060652345448,88.74757192868842,0.9999999999897919,0.43339674078410784,233727.03270849507
LightGBM,23.844170160678882,74.58104701792662,0.9597455112560263,0.5998497795349202,3.1278524903717253
Linear Regression,15.718486733959871,88.81200690920858,0.9926419857884868,0.7214317453396973,5.650162665934615
Ridge (alpha=1.0),16.944047265899115,71.72912879062831,0.9914498552925676,0.8182897746018111,4.233293714600724
Lasso (alpha=1.0),20.896750747486152,50.35681156289022,0.986995409488718,0.9104419346411228,2.4097914633426
XGBoost,0.00035255899456376847,163.88311819616143,0.9999999999962983,0.051457722933583194,464838.8517188132
LightGBM,35.02110551799591,81.92189166165878,0.9634742737906781,0.7629782506089217,2.3392148948456946
