Model,Train Time (s),Inference Time (s),Accuracy,F1 Score,ROC AUC
Logistic Regression (L2),0.028815746307373047,0.0441136360168457,0.78,0.5925925925925926,0.8013756613756614
Logistic Regression (L1),0.026113271713256836,0.026934385299682617,0.7733333333333333,0.575,0.7995767195767196
XGBoost,0.14023566246032715,0.014646291732788086,0.7333333333333333,0.5,0.7646560846560846
LightGBM,0.0772542953491211,0.013946294784545898,0.7566666666666667,0.535031847133758,0.7713756613756614
Logistic Regression (L2),0.011092424392700195,0.020061731338500977,0.7666666666666667,0.5977011494252874,0.7753439153439153
Logistic Regression (L1),0.030814409255981445,0.024442434310913086,0.7666666666666667,0.5930232558139535,0.7796296296296296
XGBoost,0.1323099136352539,0.02491021156311035,0.74,0.5617977528089888,0.7984126984126985
LightGBM,0.06340289115905762,0.01459956169128418,0.78,0.6206896551724138,0.8079894179894179
Logistic Regression (L2),0.011534452438354492,0.021315813064575195,0.7266666666666667,0.5060240963855421,0.7565079365079366
Logistic Regression (L1),0.0270388126373291,0.028710365295410156,0.7266666666666667,0.4810126582278481,0.7592063492063492
XGBoost,0.15889739990234375,0.030778884887695312,0.7166666666666667,0.5142857142857142,0.7291005291005291
LightGBM,0.07180547714233398,0.01858830451965332,0.7266666666666667,0.49382716049382713,0.7252380952380952
Logistic Regression (L2),0.016155242919921875,0.020632266998291016,0.7433333333333333,0.5095541401273885,0.7697883597883598
Logistic Regression (L1),0.024687528610229492,0.023518800735473633,0.74,0.4935064935064935,0.7694708994708995
XGBoost,0.15442371368408203,0.02308821678161621,0.7433333333333333,0.5095541401273885,0.7351322751322751
LightGBM,0.07084345817565918,0.013675212860107422,0.7366666666666667,0.5031446540880503,0.7551851851851852
Logistic Regression (L2),0.016190290451049805,0.014248847961425781,0.7833333333333333,0.5751633986928104,0.7756084656084655
Logistic Regression (L1),0.02636885643005371,0.020821809768676758,0.79,0.5882352941176471,0.7839153439153439
XGBoost,0.13341236114501953,0.02449178695678711,0.7833333333333333,0.5637583892617449,0.8107407407407407
LightGBM,0.06278300285339355,0.01355886459350586,0.7833333333333333,0.5695364238410596,0.7989417989417991
