Feature,Coefficient
Attribute4_A40,0.9457158843354188
Attribute1_A11,0.7753456448200924
Attribute4_A46,0.5819091705871805
Attribute3_A31,0.5814371031302666
Attribute20_A201,0.5696949917091891
Attribute6_A61,0.4896602187095277
Attribute6_A62,0.48173927955410667
Attribute9_A91,0.43907932708247266
Attribute2,0.40434603396311114
Attribute10_A102,0.39745321404610784
Attribute5,0.3406519416491166
Attribute3_A30,0.33828155399013504
Attribute8,0.29926180580137607
Attribute14_A141,0.2732806542248725
Attribute1_A12,0.2361753936469975
Attribute15_A151,0.21797604108841115
Attribute12_A124,0.20447361775704032
Attribute4_A43,0.14248773069873766
Attribute16,0.11575485557536234
Attribute7_A72,0.09738450267753798
Attribute4_A42,0.0948501111831654
Attribute7_A75,0.09145370434698478
Attribute4_A44,0.08708140805148959
Attribute18,0.07153389773027927
Attribute7_A71,0.00994570388098453
Attribute11,-0.013049781690097045
Attribute17_A173,-0.040060912274224515
Attribute10_A101,-0.042845999379562655
Attribute9_A92,-0.04526325790759794
Attribute4_A49,-0.06075243044372547
Attribute7_A73,-0.0839252479099475
Attribute19_A191,-0.08811896092007117
Attribute17_A171,-0.09147128362434369
Attribute3_A32,-0.11479225424888011
Attribute17_A174,-0.13793487576834765
Attribute13,-0.15077683629075972
Attribute17_A172,-0.16817577049862087
Attribute15_A152,-0.18489481371516214
Attribute12_A121,-0.1951915237019054
Attribute3_A33,-0.21072476156632045
Attribute12_A122,-0.21834063195892292
Attribute12_A123,-0.22858430426172702
Attribute6_A63,-0.23369975683977026
Attribute6_A65,-0.2925006273935011
Attribute9_A94,-0.30861017447605316
Attribute14_A143,-0.3380665145910553
Attribute19_A192,-0.3495238812454562
Attribute4_A45,-0.3685347126000309
Attribute14_A142,-0.3728569817993547
Attribute4_A48,-0.39899778993550017
Attribute1_A13,-0.41651627507064076
Attribute15_A153,-0.4707240695387837
Attribute9_A93,-0.5228487368643464
Attribute7_A74,-0.5525015051610999
Attribute4_A410,-0.7071787049865863
Attribute4_A41,-0.7542235090556774
Attribute10_A103,-0.7922500568321402
Attribute6_A64,-0.882841956195918
Attribute20_A202,-1.0073378338748111
Attribute3_A34,-1.0318444834707021
Attribute1_A14,-1.032647605561974
